,2,Wc,,,,,,,,,,W1d,,,,,W2d,,,,
Fff,0,2.36E-02,1.32E-02,2.86E-03,1.44E-02,8.56E-02,9.08E-05,2.20E-04,0.00E+00,2.52E-04,7.81E-03,1.19E-01,9.12E-03,0.00E+00,1.38E-02,0.00E+00,0.00E+00,0.00E+00,1.13E-02,0.00E+00,0.00E+00
_FSs,0,0.00E+00,8.08E-05,0.00E+00,2.71E-02,0.00E+00,2.27E-02,1.68E-02,5.53E-02,0.00E+00,2.23E-03,7.84E-04,0.00E+00,3.70E-04,5.56E-04,5.29E-03,2.04E-02,0.00E+00,0.00E+00,0.00E+00,4.49E-02
_SS,0,0.00E+00,3.91E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E-02,7.37E-02,0.00E+00,7.89E-04,0.00E+00,0.00E+00,0.00E+00,8.69E-03,1.31E-03,2.77E-01,0.00E+00,7.61E-03,0.00E+00,0.00E+00
_ee_,0,3.06E-02,1.11E-01,0.00E+00,0.00E+00,0.00E+00,1.07E-06,0.00E+00,7.82E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.04E-03
sssss_,0,0.00E+00,3.37E-05,0.00E+00,2.73E-02,0.00E+00,0.00E+00,1.70E-04,0.00E+00,0.00E+00,4.47E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.48E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SS_,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.64E-04,3.06E-02,5.47E-03,7.87E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.34E-03,0.00E+00,3.48E-01,0.00E+00,1.04E-01,0.00E+00,0.00E+00
Fsss,0,1.17E-03,1.82E-03,9.73E-07,4.48E-02,0.00E+00,2.88E-04,1.69E-03,1.26E-02,3.10E-03,2.03E-02,0.00E+00,0.00E+00,1.67E-02,0.00E+00,1.17E-03,0.00E+00,2.26E-03,0.00E+00,0.00E+00,0.00E+00
Fss_,0,0.00E+00,8.94E-03,0.00E+00,4.66E-03,0.00E+00,0.00E+00,3.86E-03,1.47E-01,3.08E-04,2.21E-05,3.40E-02,0.00E+00,0.00E+00,5.37E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFs,0,2.57E-02,3.47E-03,6.76E-02,1.39E-03,0.00E+00,0.00E+00,7.77E-03,6.07E-05,4.82E-02,1.31E-03,3.70E-02,0.00E+00,0.00E+00,1.38E-02,0.00E+00,0.00E+00,0.00E+00,2.89E-02,0.00E+00,0.00E+00
_fs,0,7.86E-02,0.00E+00,2.42E-04,1.57E-02,0.00E+00,2.10E-03,3.19E-04,8.90E-03,8.90E-03,1.15E-03,4.08E-02,0.00E+00,2.33E-02,2.04E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFS,0,3.14E-03,1.95E-03,2.87E-03,2.38E-03,0.00E+00,1.25E-02,9.20E-03,5.96E-03,7.30E-02,2.99E-03,3.82E-03,1.18E-02,0.00E+00,2.71E-03,0.00E+00,2.22E-02,0.00E+00,1.70E-01,0.00E+00,1.48E-03
_eee_,0,1.40E-02,9.00E-02,0.00E+00,0.00E+00,7.40E-04,1.51E-03,7.93E-03,0.00E+00,1.38E-04,1.40E-03,1.50E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E-03,0.00E+00,0.00E+00,0.00E+00
Sssss,0,0.00E+00,0.00E+00,0.00E+00,1.97E-02,0.00E+00,0.00E+00,4.94E-03,0.00E+00,0.00E+00,8.46E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.21E-02,3.21E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFf,0,2.46E-02,2.91E-04,2.46E-04,1.57E-02,5.28E-02,0.00E+00,2.24E-04,1.27E-02,3.52E-03,4.39E-03,2.64E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.41E-02,0.00E+00,0.00E+00
Ssss_,0,0.00E+00,0.00E+00,0.00E+00,3.21E-02,0.00E+00,0.00E+00,2.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-02,0.00E+00,0.00E+00,0.00E+00,6.15E-03,0.00E+00
_Fss_,0,0.00E+00,6.91E-03,0.00E+00,1.52E-03,0.00E+00,0.00E+00,0.00E+00,1.41E-01,0.00E+00,5.91E-04,2.84E-02,0.00E+00,0.00E+00,8.35E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fsss,0,0.00E+00,1.84E-03,9.46E-05,3.50E-02,0.00E+00,5.53E-04,5.39E-04,1.11E-02,2.70E-03,1.64E-02,0.00E+00,0.00E+00,1.19E-02,0.00E+00,3.94E-03,0.00E+00,1.45E-03,0.00E+00,0.00E+00,0.00E+00
_Fff,0,1.49E-02,7.99E-03,0.00E+00,8.61E-03,2.33E-02,0.00E+00,6.87E-05,0.00E+00,2.88E-03,3.33E-03,8.91E-02,3.15E-02,1.95E-02,3.56E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FFs,0,1.27E-02,2.76E-03,6.60E-02,1.77E-03,0.00E+00,0.00E+00,3.64E-03,5.62E-04,4.11E-02,1.79E-03,2.72E-02,0.00E+00,0.00E+00,2.03E-02,0.00E+00,0.00E+00,0.00E+00,2.80E-02,0.00E+00,0.00E+00
_ss_,0,8.17E-03,0.00E+00,0.00E+00,1.93E-02,0.00E+00,0.00E+00,3.22E-02,2.83E-03,3.50E-05,2.31E-03,6.88E-03,1.31E-02,0.00E+00,2.11E-04,0.00E+00,1.78E-02,0.00E+00,0.00E+00,1.89E-02,0.00E+00
sfs,0,2.03E-03,2.65E-03,0.00E+00,3.07E-02,0.00E+00,5.21E-04,0.00E+00,2.99E-03,2.00E-03,9.62E-03,6.09E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.42E-04,0.00E+00,0.00E+00,0.00E+00,7.94E-03
fSs,0,0.00E+00,0.00E+00,0.00E+00,2.91E-02,8.59E-04,0.00E+00,7.65E-03,8.04E-03,3.66E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.79E-03,1.31E-02,2.94E-02,0.00E+00,0.00E+00,6.14E-03,0.00E+00
sS_,0,2.32E-03,2.10E-04,0.00E+00,1.02E-02,3.07E-03,0.00E+00,2.50E-02,4.53E-03,6.06E-03,0.00E+00,3.51E-02,0.00E+00,0.00E+00,1.16E-04,0.00E+00,6.14E-03,0.00E+00,0.00E+00,7.03E-03,2.30E-02
fss_,0,5.82E-03,2.79E-04,0.00E+00,2.74E-02,7.99E-04,0.00E+00,2.65E-03,9.34E-03,1.13E-02,0.00E+00,4.10E-02,0.00E+00,6.88E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.09E-03,9.66E-03
fssss,0,0.00E+00,3.81E-04,0.00E+00,2.76E-02,2.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.14E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.86E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FfS,0,0.00E+00,0.00E+00,0.00E+00,8.71E-03,1.18E-01,0.00E+00,1.91E-03,5.70E-03,0.00E+00,7.13E-05,0.00E+00,0.00E+00,0.00E+00,9.85E-03,0.00E+00,0.00E+00,1.74E-02,6.39E-02,0.00E+00,0.00E+00
