,,,,,Wc,,,,,,,,,W1d,,,,,,,,,,W2d,,,,,,,,,
eee,0,2,0,4,0.00E+00,1.91E-01,0.00E+00,0.00E+00,6.63E-03,0.00E+00,5.84E-03,4.92E-04,2.64E-02,0.00E+00,3.65E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.69E-03,0.00E+00,2.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.82E-03,0.00E+00,0.00E+00,0.00E+00
_Fss,0,0,0,0,1.57E-02,0.00E+00,3.16E-02,3.12E-02,1.31E-03,0.00E+00,0.00E+00,6.94E-02,4.75E-02,1.88E-01,7.58E-03,3.97E-02,0.00E+00,8.43E-03,0.00E+00,0.00E+00,2.04E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
eee_,0,0,0,4,1.29E-03,1.49E-01,3.53E-04,9.84E-04,1.51E-04,7.46E-05,6.02E-03,8.01E-03,6.63E-03,0.00E+00,1.93E-01,2.02E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.83E-03,9.52E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.99E-03,0.00E+00,0.00E+00,1.23E-02,0.00E+00,0.00E+00,0.00E+00
Ffs,0,2,2,3,3.62E-04,1.52E-02,0.00E+00,1.30E-02,2.87E-02,4.64E-04,3.15E-02,1.62E-04,2.47E-02,3.77E-03,0.00E+00,1.28E-01,1.19E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E-02,7.52E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.59E-02
FSs,0,0,0,0,1.10E-01,0.00E+00,4.77E-02,1.19E-02,1.11E-02,6.13E-04,0.00E+00,3.41E-02,1.31E-02,8.02E-03,0.00E+00,4.03E-02,0.00E+00,9.16E-03,0.00E+00,0.00E+00,0.00E+00,1.15E-02,0.00E+00,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.12E-02,6.23E-03,0.00E+00,0.00E+00
_Sss_,0,0,0,0,8.39E-03,3.12E-03,1.40E-04,6.12E-02,0.00E+00,7.42E-04,5.54E-04,0.00E+00,1.05E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-01,0.00E+00,0.00E+00,0.00E+00
_eee,0,0,0,4,1.53E-03,1.25E-01,0.00E+00,9.63E-04,1.32E-05,1.24E-04,0.00E+00,1.02E-02,5.57E-03,0.00E+00,1.30E-01,1.18E-02,0.00E+00,0.00E+00,3.35E-02,0.00E+00,2.34E-03,3.29E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.46E-03,0.00E+00,0.00E+00,0.00E+00
ffs,0,0,0,0,1.75E-02,6.15E-03,1.03E-04,2.06E-02,1.86E-03,0.00E+00,1.98E-02,4.40E-04,1.97E-02,0.00E+00,1.76E-02,2.72E-03,5.45E-03,0.00E+00,9.31E-02,5.68E-03,1.88E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.42E-03
_ss,0,0,0,0,0.00E+00,1.33E-03,0.00E+00,9.42E-02,0.00E+00,1.54E-03,3.00E-04,0.00E+00,2.09E-02,0.00E+00,0.00E+00,0.00E+00,2.07E-03,0.00E+00,1.04E-02,2.88E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.79E-02,0.00E+00
_Ffs,0,2,2,3,6.02E-04,1.38E-02,0.00E+00,9.07E-03,2.61E-02,5.48E-04,1.45E-02,4.14E-04,1.80E-02,2.73E-03,0.00E+00,1.20E-01,7.97E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.77E-02,8.85E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.81E-02
fsss,0,0,0,0,1.26E-02,3.09E-03,2.56E-04,2.16E-03,6.48E-03,0.00E+00,6.57E-04,5.40E-04,6.94E-02,0.00E+00,0.00E+00,3.78E-03,0.00E+00,1.37E-02,0.00E+00,1.25E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-06,0.00E+00,0.00E+00,0.00E+00,8.62E-04
sssss,0,0,3,2,0.00E+00,6.84E-03,0.00E+00,0.00E+00,0.00E+00,5.26E-03,0.00E+00,0.00E+00,7.44E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.24E-01,0.00E+00,0.00E+00,0.00E+00,1.82E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Ssss,0,0,0,0,6.97E-05,0.00E+00,0.00E+00,1.37E-02,0.00E+00,1.35E-02,0.00E+00,0.00E+00,3.00E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.55E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.57E-04,3.57E-02,0.00E+00,0.00E+00,0.00E+00
Fff,0,2,0,3,5.43E-03,1.72E-03,2.14E-04,8.47E-03,1.73E-02,0.00E+00,1.92E-02,0.00E+00,1.39E-02,0.00E+00,3.11E-02,5.35E-02,2.05E-02,0.00E+00,4.63E-02,3.65E-03,8.54E-02,1.34E-02,2.90E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.63E-02,0.00E+00,0.00E+00,0.00E+00,9.66E-03
_FSs,0,0,0,0,9.95E-02,0.00E+00,4.44E-02,5.12E-03,0.00E+00,7.77E-04,0.00E+00,3.37E-02,1.01E-02,0.00E+00,0.00E+00,2.31E-02,0.00E+00,9.06E-03,0.00E+00,0.00E+00,0.00E+00,6.53E-03,0.00E+00,0.00E+00,1.71E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E-02,1.16E-02,0.00E+00,0.00E+00
_SS,0,0,0,0,1.37E-02,0.00E+00,0.00E+00,6.41E-03,0.00E+00,6.27E-02,0.00E+00,5.98E-02,0.00E+00,7.89E-02,0.00E+00,0.00E+00,0.00E+00,4.86E-04,0.00E+00,0.00E+00,0.00E+00,1.52E-02,1.63E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E-02,0.00E+00,2.40E-01,0.00E+00
_ee_,0,0,0,4,0.00E+00,6.25E-02,5.36E-04,0.00E+00,0.00E+00,2.86E-04,3.81E-03,1.51E-01,0.00E+00,5.99E-02,6.45E-02,0.00E+00,3.66E-02,0.00E+00,5.08E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sssss_,0,0,0,0,0.00E+00,1.33E-03,1.20E-04,0.00E+00,0.00E+00,0.00E+00,5.26E-05,0.00E+00,4.70E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SS_,0,0,0,0,3.48E-02,0.00E+00,0.00E+00,5.40E-04,0.00E+00,4.73E-02,0.00E+00,5.22E-02,0.00E+00,8.94E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E-02,0.00E+00,0.00E+00,1.22E-02,3.04E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.68E-01,3.79E-02
Fsss,0,0,0,0,1.93E-02,0.00E+00,1.14E-02,6.50E-03,2.90E-03,1.92E-04,2.47E-04,4.72E-03,4.52E-02,0.00E+00,1.48E-02,0.00E+00,0.00E+00,1.33E-02,0.00E+00,0.00E+00,3.42E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E-03,0.00E+00,0.00E+00,0.00E+00
Fss_,0,0,0,0,3.32E-03,0.00E+00,2.29E-02,3.86E-02,2.21E-03,4.11E-04,0.00E+00,6.12E-02,3.33E-03,1.89E-01,0.00E+00,3.91E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.04E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.78E-03,0.00E+00
FFs,0,0,0,0,3.76E-04,3.20E-04,0.00E+00,6.94E-03,5.13E-02,2.86E-04,3.66E-02,0.00E+00,1.18E-04,0.00E+00,3.19E-02,0.00E+00,2.18E-02,0.00E+00,0.00E+00,4.74E-04,3.12E-02,2.03E-03,0.00E+00,6.86E-02,0.00E+00,0.00E+00,0.00E+00,9.75E-02,0.00E+00,1.16E-02,1.17E-02,0.00E+00,6.43E-03
_fs,0,0,0,0,5.60E-04,9.47E-03,0.00E+00,2.26E-02,1.87E-04,0.00E+00,5.30E-02,2.80E-03,7.92E-03,3.58E-03,0.00E+00,3.36E-02,6.58E-02,0.00E+00,3.53E-02,2.75E-04,1.59E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFS,0,0,0,0,2.10E-02,6.65E-05,0.00E+00,6.44E-03,5.45E-02,0.00E+00,0.00E+00,0.00E+00,1.99E-04,1.52E-02,7.51E-03,1.50E-03,0.00E+00,0.00E+00,0.00E+00,4.00E-02,0.00E+00,1.84E-03,0.00E+00,6.37E-02,4.91E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.51E-03,0.00E+00,3.09E-02,1.50E-01
_eee_,0,0,0,4,9.61E-04,9.61E-02,0.00E+00,1.13E-03,0.00E+00,3.75E-04,2.91E-05,1.04E-02,3.58E-04,0.00E+00,5.17E-02,9.54E-03,0.00E+00,0.00E+00,2.11E-02,0.00E+00,1.06E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E-02,0.00E+00,0.00E+00,0.00E+00
Sssss,0,0,0,0,0.00E+00,0.00E+00,1.69E-05,1.56E-04,0.00E+00,2.15E-03,0.00E+00,0.00E+00,2.01E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.05E-02,0.00E+00,0.00E+00,0.00E+00,7.69E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E-02,0.00E+00,2.93E-02,0.00E+00
FFf,0,0,0,0,1.81E-02,0.00E+00,1.83E-05,1.45E-02,1.67E-02,0.00E+00,1.57E-02,0.00E+00,7.47E-03,7.15E-03,1.11E-02,2.75E-02,2.28E-02,0.00E+00,0.00E+00,0.00E+00,1.03E-02,1.74E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.17E-02,0.00E+00,0.00E+00,0.00E+00,9.98E-03
Ffs_,0,2,2,3,5.45E-05,7.24E-03,0.00E+00,0.00E+00,8.82E-03,3.02E-04,1.53E-02,2.99E-05,0.00E+00,7.63E-03,0.00E+00,9.26E-02,1.44E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-03,8.55E-02,1.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.19E-04,6.79E-02
Ssss_,0,0,0,0,3.74E-03,0.00E+00,0.00E+00,2.25E-02,0.00E+00,1.20E-02,0.00E+00,0.00E+00,1.69E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E-02,0.00E+00,0.00E+00,0.00E+00,7.62E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.99E-04,3.85E-02,0.00E+00,0.00E+00,0.00E+00
_Fss_,0,0,0,0,3.04E-04,0.00E+00,1.82E-02,2.73E-02,2.04E-04,5.55E-04,0.00E+00,5.83E-02,4.11E-03,1.88E-01,0.00E+00,4.01E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.51E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.47E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.46E-03,0.00E+00
_Fsss,0,0,0,0,1.83E-02,0.00E+00,1.07E-02,1.01E-03,3.23E-03,1.67E-04,0.00E+00,2.90E-03,3.68E-02,7.75E-04,1.39E-02,0.00E+00,0.00E+00,1.32E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fff,0,0,0,0,8.98E-05,3.11E-03,0.00E+00,1.67E-03,6.74E-03,0.00E+00,2.07E-02,9.34E-05,1.07E-02,0.00E+00,4.38E-03,5.59E-02,0.00E+00,0.00E+00,4.35E-02,0.00E+00,6.14E-02,3.45E-03,4.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.82E-03,0.00E+00,0.00E+00,5.73E-03
_FFs,0,0,0,0,2.29E-04,0.00E+00,0.00E+00,5.52E-03,4.42E-02,4.08E-04,2.17E-02,0.00E+00,5.46E-04,0.00E+00,3.50E-02,0.00E+00,3.05E-02,0.00E+00,0.00E+00,5.64E-03,1.97E-02,4.92E-03,0.00E+00,6.12E-02,0.00E+00,0.00E+00,0.00E+00,7.67E-02,0.00E+00,2.40E-03,2.52E-02,0.00E+00,6.90E-03
_ss_,0,0,0,0,0.00E+00,1.57E-03,0.00E+00,6.82E-02,0.00E+00,7.03E-03,6.68E-04,0.00E+00,7.31E-03,0.00E+00,0.00E+00,0.00E+00,1.09E-03,0.00E+00,7.42E-03,3.54E-03,0.00E+00,0.00E+00,2.00E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.91E-02,0.00E+00
sfs,0,0,0,0,2.28E-02,4.35E-03,0.00E+00,4.91E-03,9.70E-04,0.00E+00,0.00E+00,1.04E-04,2.83E-02,2.24E-03,0.00E+00,0.00E+00,0.00E+00,3.06E-03,0.00E+00,0.00E+00,7.00E-02,0.00E+00,0.00E+00,1.51E-03,1.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
fSs,0,0,0,0,5.53E-03,0.00E+00,1.44E-03,1.48E-02,5.78E-04,6.26E-03,0.00E+00,0.00E+00,1.95E-02,1.11E-02,0.00E+00,1.20E-02,0.00E+00,1.26E-02,0.00E+00,0.00E+00,0.00E+00,1.52E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E-03,1.46E-02,0.00E+00,2.16E-02,0.00E+00
sS_,0,0,0,0,1.91E-02,1.13E-04,4.03E-04,2.21E-02,8.33E-03,6.19E-03,1.33E-03,1.94E-04,1.27E-04,0.00E+00,0.00E+00,2.69E-02,0.00E+00,1.31E-03,0.00E+00,0.00E+00,1.55E-02,6.33E-03,0.00E+00,0.00E+00,3.17E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-02,0.00E+00,0.00E+00,4.03E-04
fS_,0,2,2,3,0.00E+00,1.29E-04,1.65E-02,0.00E+00,1.15E-03,9.75E-05,0.00E+00,2.65E-02,0.00E+00,0.00E+00,0.00E+00,1.73E-02,0.00E+00,0.00E+00,0.00E+00,1.87E-02,9.41E-03,1.81E-02,1.28E-01,2.04E-04,0.00E+00,2.21E-03,1.47E-02,2.27E-03,1.82E-01,0.00E+00,0.00E+00,0.00E+00,4.36E-02
fss_,0,0,0,0,1.36E-02,5.15E-04,1.06E-04,2.85E-02,8.15E-03,0.00E+00,6.46E-03,1.69E-05,1.31E-02,1.51E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E-02,0.00E+00,0.00E+00,0.00E+00,2.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.48E-03
