,W1c,,,,,,,,W1d,,,,,,W2d,,,,,
_Fss_,5.92E-04,0.00E+00,2.77E-03,2.38E-02,1.99E-02,0.00E+00,0.00E+00,2.77E-02,4.15E-02,1.75E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fsss,0.00E+00,7.17E-03,1.84E-03,5.28E-03,4.25E-02,0.00E+00,5.09E-04,7.33E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.71E-04,1.65E-02,7.40E-04,1.96E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fff,2.64E-02,1.73E-03,1.43E-02,0.00E+00,5.90E-03,0.00E+00,0.00E+00,1.61E-02,7.26E-02,0.00E+00,3.01E-02,3.87E-02,2.43E-02,1.39E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FFs,4.47E-02,2.24E-03,0.00E+00,6.87E-03,4.71E-03,8.75E-03,1.08E-02,0.00E+00,0.00E+00,0.00E+00,7.15E-04,0.00E+00,7.43E-02,0.00E+00,3.48E-02,1.11E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ss_,1.47E-03,3.76E-02,5.65E-03,1.31E-02,8.60E-03,1.87E-04,6.06E-04,6.32E-04,2.17E-02,7.42E-03,0.00E+00,1.63E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E-02,0.00E+00,0.00E+00,0.00E+00
sfs,0.00E+00,5.34E-03,0.00E+00,2.38E-03,3.23E-02,0.00E+00,1.44E-03,3.48E-03,7.38E-02,0.00E+00,0.00E+00,0.00E+00,1.02E-02,6.80E-03,1.72E-03,0.00E+00,1.01E-03,0.00E+00,8.13E-03,0.00E+00
fSs,4.19E-03,1.97E-02,0.00E+00,8.10E-03,1.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-02,0.00E+00,0.00E+00,0.00E+00,1.72E-02,0.00E+00,0.00E+00,1.72E-02,0.00E+00,0.00E+00,3.50E-03
sS_,1.40E-02,2.13E-02,8.95E-04,1.89E-02,4.45E-03,0.00E+00,0.00E+00,2.16E-03,4.34E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E-03,0.00E+00,0.00E+00,0.00E+00,1.14E-02,0.00E+00
fS_,4.30E-02,0.00E+00,2.75E-02,1.08E-02,0.00E+00,5.47E-03,0.00E+00,7.82E-03,0.00E+00,1.55E-03,0.00E+00,6.88E-02,4.65E-02,0.00E+00,1.89E-02,3.34E-04,0.00E+00,0.00E+00,0.00E+00,2.20E-01
fss_,1.19E-02,1.17E-02,7.24E-03,4.13E-03,2.15E-02,0.00E+00,7.86E-05,2.05E-03,5.76E-02,2.44E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.17E-03,0.00E+00,0.00E+00,0.00E+00,3.09E-03,0.00E+00
fssss,0.00E+00,3.27E-03,0.00E+00,0.00E+00,3.92E-02,0.00E+00,1.51E-03,0.00E+00,6.26E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FfS,2.42E-02,4.95E-03,8.95E-03,3.05E-03,3.21E-03,2.03E-03,0.00E+00,0.00E+00,0.00E+00,2.43E-02,0.00E+00,2.28E-02,1.73E-03,6.43E-03,2.34E-02,9.67E-03,0.00E+00,0.00E+00,0.00E+00,2.40E-01
