,Wc,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
_eee_,6.92E-02,1.10E-02,5.63E-02,0.00E+00,0.00E+00,1.74E-02,0.00E+00,0.00E+00,4.63E-03,1.39E-02,4.16E-03,4.60E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E-03,5.70E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sssss,0.00E+00,0.00E+00,0.00E+00,1.98E-02,4.63E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E-02,0.00E+00,0.00E+00,9.35E-03,4.23E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.67E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFf,0.00E+00,6.07E-02,0.00E+00,8.70E-03,0.00E+00,1.01E-02,0.00E+00,8.97E-03,0.00E+00,0.00E+00,2.55E-02,0.00E+00,0.00E+00,6.15E-03,1.92E-02,1.93E-03,0.00E+00,1.92E-02,3.32E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.47E-02,3.47E-02,7.86E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ffs_,3.03E-06,7.67E-03,1.45E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E-01,0.00E+00,0.00E+00,1.18E-01,5.80E-03,0.00E+00,2.07E-04,1.44E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.61E-02,0.00E+00
Ssss_,0.00E+00,0.00E+00,0.00E+00,2.72E-02,2.17E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.97E-04,3.72E-02,1.63E-02,0.00E+00,1.85E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.88E-03,0.00E+00,2.98E-02,0.00E+00,0.00E+00,0.00E+00,6.72E-04,0.00E+00
_Fss_,0.00E+00,1.10E-03,1.64E-02,3.11E-03,0.00E+00,0.00E+00,0.00E+00,1.43E-01,0.00E+00,2.18E-02,9.58E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-01,1.72E-02,0.00E+00,1.46E-02,2.17E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.32E-02,0.00E+00,0.00E+00,0.00E+00
_Fsss,0.00E+00,1.07E-02,0.00E+00,2.68E-02,0.00E+00,2.43E-03,0.00E+00,0.00E+00,0.00E+00,7.87E-02,2.41E-02,3.01E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E-03,0.00E+00,0.00E+00,1.98E-03,0.00E+00,1.06E-03,0.00E+00,0.00E+00,2.55E-03
_Fff,2.10E-03,4.27E-02,1.38E-04,6.04E-03,0.00E+00,1.43E-02,0.00E+00,0.00E+00,4.92E-02,2.95E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.55E-03,5.04E-02,5.21E-02,1.27E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.96E-03,0.00E+00,0.00E+00,3.12E-03,4.60E-04
_FFs,2.09E-04,3.61E-02,0.00E+00,1.94E-03,0.00E+00,4.53E-02,1.98E-02,0.00E+00,8.58E-02,0.00E+00,1.00E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.55E-03,0.00E+00,0.00E+00,4.26E-02,1.18E-02,0.00E+00,0.00E+00,0.00E+00,1.67E-03,0.00E+00,0.00E+00,0.00E+00,3.58E-02,8.81E-02
_ss_,0.00E+00,9.43E-03,4.56E-03,1.94E-02,0.00E+00,0.00E+00,2.72E-03,4.71E-04,0.00E+00,0.00E+00,0.00E+00,9.56E-02,3.23E-03,0.00E+00,6.66E-03,0.00E+00,0.00E+00,5.05E-05,0.00E+00,2.64E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.01E-03,0.00E+00,0.00E+00,0.00E+00
