,,,,,Wc,,,,,,,,W1d,,,,,,W2d,,,,,
FSs,0,0,0,0,9.31E-03,2.02E-02,5.91E-02,4.35E-02,0.00E+00,2.23E-03,8.07E-03,3.42E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.12E-03,0.00E+00,4.93E-02,0.00E+00,0.00E+00,0.00E+00,2.40E-02
_Sss_,0,0,0,4,0.00E+00,0.00E+00,1.69E-02,0.00E+00,7.71E-04,4.48E-04,5.50E-02,3.13E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.89E-03,0.00E+00,1.66E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_eee,0,0,0,0,2.11E-04,0.00E+00,6.77E-05,0.00E+00,1.34E-01,0.00E+00,5.88E-04,2.48E-02,0.00E+00,1.53E-02,0.00E+00,0.00E+00,1.11E-01,0.00E+00,0.00E+00,1.36E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs,0,0,0,0,6.51E-03,4.13E-03,5.70E-02,0.00E+00,3.38E-03,2.73E-03,1.77E-03,1.04E-02,2.18E-02,7.71E-03,8.29E-02,6.15E-03,1.47E-01,6.12E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ss,0,0,0,0,1.15E-04,0.00E+00,3.38E-02,1.22E-03,3.90E-03,7.31E-04,6.39E-02,1.73E-03,1.13E-03,0.00E+00,9.42E-03,2.85E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.72E-03
_Ffs,0,0,3,0,1.10E-01,0.00E+00,6.94E-03,3.06E-04,1.95E-02,0.00E+00,3.98E-03,1.79E-02,5.93E-02,0.00E+00,7.31E-02,0.00E+00,0.00E+00,8.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-02,5.59E-03
fsss,0,0,0,0,0.00E+00,0.00E+00,2.03E-02,0.00E+00,0.00E+00,1.47E-03,1.43E-02,6.71E-02,0.00E+00,0.00E+00,0.00E+00,1.91E-03,0.00E+00,1.28E-02,0.00E+00,0.00E+00,7.57E-03,0.00E+00,5.60E-04,0.00E+00
sssss,0,2,2,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E-04,0.00E+00,2.12E-02,6.85E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Ssss,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.46E-02,4.92E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.42E-02,0.00E+00,0.00E+00,1.52E-03,0.00E+00,0.00E+00,0.00E+00
Fff,0,0,0,0,3.78E-02,2.55E-03,3.10E-02,0.00E+00,0.00E+00,5.51E-03,4.04E-04,1.03E-02,6.54E-02,2.53E-02,0.00E+00,2.97E-03,1.34E-01,2.59E-03,0.00E+00,0.00E+00,7.05E-02,0.00E+00,0.00E+00,0.00E+00
_FSs,0,0,0,0,1.84E-03,1.92E-02,4.06E-02,3.85E-02,0.00E+00,4.04E-03,8.33E-03,2.95E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.22E-03,0.00E+00,2.97E-02,0.00E+00,0.00E+00,0.00E+00,2.45E-02
_SS,0,0,0,4,1.91E-03,0.00E+00,0.00E+00,9.87E-02,0.00E+00,0.00E+00,3.27E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.93E-04,0.00E+00,7.25E-02,0.00E+00,0.00E+00,0.00E+00,2.12E-01
_ee_,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,1.11E-01,9.79E-02,2.33E-02,0.00E+00,2.77E-03,0.00E+00,2.64E-02,5.24E-02,0.00E+00,2.73E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sssss_,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,2.56E-05,0.00E+00,2.81E-05,1.36E-02,4.40E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.35E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SS_,0,0,0,4,1.98E-04,2.24E-03,0.00E+00,9.41E-02,0.00E+00,0.00E+00,1.54E-02,6.19E-06,0.00E+00,0.00E+00,0.00E+00,3.61E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.80E-03,0.00E+00,3.20E-02,3.35E-01
Fsss,0,0,0,0,1.08E-03,7.98E-04,3.10E-02,3.93E-04,7.48E-04,1.53E-03,7.07E-03,4.80E-02,0.00E+00,3.57E-03,0.00E+00,0.00E+00,0.00E+00,1.20E-02,5.51E-04,1.17E-02,0.00E+00,3.06E-03,0.00E+00,0.00E+00
Fss_,0,0,0,0,9.16E-03,0.00E+00,7.01E-02,1.20E-01,1.98E-03,0.00E+00,0.00E+00,2.66E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFs,0,0,0,0,4.59E-02,9.00E-03,9.43E-03,0.00E+00,2.36E-03,2.38E-03,2.86E-03,1.85E-04,0.00E+00,8.83E-02,3.82E-03,1.87E-02,0.00E+00,0.00E+00,0.00E+00,6.78E-03,0.00E+00,1.34E-01,2.79E-02,0.00E+00
_fs,0,0,0,0,3.38E-02,0.00E+00,1.94E-02,0.00E+00,1.11E-02,3.05E-02,2.34E-03,9.01E-03,0.00E+00,0.00E+00,1.07E-01,1.18E-02,3.06E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFS,0,0,0,0,1.87E-02,0.00E+00,1.88E-02,2.14E-03,3.34E-03,0.00E+00,1.11E-03,4.53E-03,0.00E+00,0.00E+00,0.00E+00,8.11E-02,0.00E+00,1.31E-03,0.00E+00,1.14E-02,9.56E-03,0.00E+00,1.70E-01,3.69E-02
_eee_,0,0,0,0,3.02E-03,0.00E+00,0.00E+00,0.00E+00,8.83E-02,0.00E+00,7.98E-04,1.16E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.23E-02,0.00E+00,0.00E+00,2.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sssss,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,2.71E-04,0.00E+00,0.00E+00,1.76E-02,1.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.33E-02,0.00E+00,3.24E-03,0.00E+00,0.00E+00,0.00E+00,2.12E-02
FFf,0,0,0,0,3.95E-02,0.00E+00,2.76E-02,4.44E-04,0.00E+00,1.49E-02,1.47E-05,5.64E-03,0.00E+00,2.92E-02,1.03E-02,0.00E+00,1.38E-02,6.86E-03,0.00E+00,3.74E-03,8.05E-02,0.00E+00,0.00E+00,0.00E+00
Ffs_,0,0,3,0,1.04E-01,0.00E+00,0.00E+00,5.20E-04,1.14E-02,0.00E+00,0.00E+00,0.00E+00,6.61E-02,0.00E+00,1.07E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.83E-02,5.42E-03
Ssss_,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.39E-02,0.00E+00,0.00E+00,0.00E+00,1.32E-03,0.00E+00,0.00E+00,1.70E-02,0.00E+00,1.09E-03,4.46E-03,0.00E+00,0.00E+00,0.00E+00
_Fss_,0,0,0,0,8.11E-03,0.00E+00,5.52E-02,1.19E-01,1.03E-03,0.00E+00,0.00E+00,3.16E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fsss,0,0,0,0,0.00E+00,1.18E-03,2.56E-02,8.10E-04,1.06E-03,6.09E-04,2.82E-03,4.01E-02,0.00E+00,3.44E-03,0.00E+00,0.00E+00,0.00E+00,1.26E-02,6.64E-05,6.37E-03,0.00E+00,2.45E-03,0.00E+00,0.00E+00
_Fff,0,0,0,0,2.02E-02,1.61E-03,1.81E-02,0.00E+00,1.36E-03,9.17E-04,2.17E-04,9.39E-03,7.38E-02,0.00E+00,0.00E+00,0.00E+00,9.69E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E-03,0.00E+00
_FFs,0,0,0,0,3.50E-02,1.38E-02,7.14E-03,0.00E+00,0.00E+00,5.05E-04,2.11E-03,2.61E-05,4.60E-03,8.90E-02,3.70E-04,1.39E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E-01,2.54E-02,0.00E+00
_ss_,0,0,0,0,0.00E+00,0.00E+00,2.43E-02,1.39E-03,3.18E-03,7.63E-04,4.37E-02,0.00E+00,3.57E-03,0.00E+00,4.89E-03,3.61E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E-02
sfs,0,0,0,0,3.70E-04,0.00E+00,3.08E-02,0.00E+00,1.79E-03,1.29E-03,3.81E-04,2.92E-02,0.00E+00,0.00E+00,1.90E-02,4.31E-03,1.74E-02,6.68E-03,0.00E+00,4.97E-03,0.00E+00,0.00E+00,3.82E-04,4.37E-03
fSs,0,0,0,0,4.31E-03,0.00E+00,1.87E-02,1.08E-03,0.00E+00,0.00E+00,2.39E-02,5.36E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.93E-02,0.00E+00,0.00E+00,1.83E-03,0.00E+00,0.00E+00,1.87E-02
sS_,0,0,0,0,1.48E-02,0.00E+00,2.81E-02,1.87E-04,0.00E+00,3.31E-03,1.21E-02,1.47E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-02,2.75E-03,7.42E-04,3.25E-02,0.00E+00,0.00E+00,3.71E-05,5.60E-03
fS_,0,0,3,3,3.61E-02,3.36E-03,0.00E+00,2.82E-02,1.95E-03,8.24E-03,0.00E+00,8.22E-04,1.09E-01,0.00E+00,0.00E+00,1.55E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E-01,0.00E+00,0.00E+00,0.00E+00
fss_,0,0,0,0,5.47E-03,0.00E+00,5.02E-02,0.00E+00,1.52E-03,7.68E-03,6.46E-03,3.18E-03,0.00E+00,0.00E+00,9.02E-03,4.34E-03,5.17E-04,1.30E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-03,0.00E+00
fssss,0,0,0,0,3.49E-06,0.00E+00,3.11E-04,0.00E+00,0.00E+00,0.00E+00,9.62E-03,4.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.08E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FfS,0,0,0,0,2.42E-02,2.54E-03,5.04E-03,4.88E-03,0.00E+00,1.42E-03,5.92E-03,7.20E-04,3.56E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.63E-03,5.55E-03,0.00E+00,2.13E-01,0.00E+00,0.00E+00,0.00E+00
FSs_,0,0,0,0,4.19E-03,1.99E-02,3.35E-02,4.76E-02,0.00E+00,0.00E+00,9.57E-04,1.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.75E-02,0.00E+00,3.14E-03,0.00E+00,1.58E-02
