,(W1c+W2c)/2,,,,,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
fss,8.23E-03,9.80E-04,0.00E+00,7.57E-04,9.56E-02,3.81E-03,0.00E+00,7.85E-02,0.00E+00,0.00E+00,0.00E+00,2.53E-02,7.88E-02,0.00E+00,0.00E+00,1.85E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-02,0.00E+00,0.00E+00,0.00E+00,2.22E-02,0.00E+00,0.00E+00,9.79E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.03E-03,0.00E+00,0.00E+00,0.00E+00
Sss_,0.00E+00,1.24E-01,0.00E+00,0.00E+00,3.29E-02,3.88E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E-02,0.00E+00,2.12E-02,0.00E+00,3.72E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.47E-03,0.00E+00,0.00E+00,0.00E+00
Ssss,0.00E+00,6.17E-02,0.00E+00,0.00E+00,2.09E-04,0.00E+00,0.00E+00,2.98E-02,0.00E+00,0.00E+00,7.74E-02,0.00E+00,3.91E-02,0.00E+00,3.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.63E-03,0.00E+00,0.00E+00
eee,0.00E+00,3.30E-04,5.97E-03,1.22E-04,0.00E+00,2.14E-01,6.64E-02,4.11E-02,2.42E-01,0.00E+00,0.00E+00,6.02E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.42E-02,0.00E+00,0.00E+00,0.00E+00,1.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.02E-04,0.00E+00,0.00E+00,0.00E+00,3.61E-04
_Fss,7.87E-02,1.71E-04,0.00E+00,0.00E+00,2.89E-02,1.06E-02,0.00E+00,5.03E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.58E-02,0.00E+00,0.00E+00,1.80E-03,4.64E-02,0.00E+00,1.93E-01,0.00E+00,1.98E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.56E-04,0.00E+00
eee_,2.85E-04,3.26E-03,6.12E-03,0.00E+00,0.00E+00,1.53E-01,4.72E-02,1.32E-02,3.16E-02,0.00E+00,0.00E+00,9.80E-03,0.00E+00,0.00E+00,0.00E+00,5.57E-03,9.99E-02,0.00E+00,0.00E+00,0.00E+00,3.66E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E-02,0.00E+00,0.00E+00,0.00E+00,1.29E-02
Ffs,0.00E+00,0.00E+00,3.99E-04,8.86E-04,5.92E-02,7.68E-03,5.62E-02,2.22E-02,0.00E+00,5.48E-02,0.00E+00,0.00E+00,0.00E+00,1.80E-01,3.08E-02,0.00E+00,1.32E-02,0.00E+00,0.00E+00,4.81E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E-02,0.00E+00,0.00E+00,0.00E+00,4.40E-02,2.23E-04,4.29E-05,0.00E+00,0.00E+00,0.00E+00,4.92E-02,0.00E+00
FSs,9.87E-02,2.15E-02,3.07E-03,9.32E-04,4.83E-02,1.90E-04,0.00E+00,1.55E-02,1.90E-03,0.00E+00,9.92E-03,0.00E+00,0.00E+00,0.00E+00,1.76E-02,0.00E+00,2.07E-02,2.23E-03,1.60E-02,0.00E+00,4.62E-03,0.00E+00,1.27E-02,0.00E+00,0.00E+00,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Sss_,0.00E+00,9.84E-02,0.00E+00,0.00E+00,1.51E-02,5.11E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E-05,2.74E-02,0.00E+00,0.00E+00,4.76E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E-04,0.00E+00,0.00E+00,0.00E+00
_eee,0.00E+00,2.83E-03,4.07E-04,0.00E+00,0.00E+00,1.27E-01,3.12E-02,1.01E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.13E-03,9.01E-02,0.00E+00,0.00E+00,0.00E+00,3.61E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
